Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,1040.000000,1047.199951,1031.849976,1037.500000,1001.765503,3057560
2023-04-21,1054.000000,1074.000000,1037.750000,1048.949951,1012.821167,7708194
2023-04-24,1057.000000,1058.900024,1046.000000,1054.050049,1017.745605,2033625
2023-04-25,1050.449951,1058.800049,1044.400024,1053.449951,1017.166138,1237595
2023-04-26,1055.000000,1067.000000,1048.000000,1065.550049,1028.849487,1647101
2023-04-27,1065.550049,1075.000000,1061.000000,1071.250000,1034.353027,1654910
2023-04-28,1059.949951,1068.750000,1053.750000,1064.099976,1045.008423,2629188
2023-05-02,1064.099976,1074.800049,1064.000000,1067.550049,1048.396606,1905168
2023-05-03,1062.000000,1064.000000,1055.000000,1058.949951,1039.950806,1649820
2023-05-04,1056.050049,1067.949951,1048.300049,1066.800049,1047.660034,1403672
2023-05-05,1066.800049,1069.949951,1052.099976,1055.550049,1036.611938,1641673
2023-05-08,1058.000000,1077.500000,1055.000000,1075.750000,1056.449341,1389075
2023-05-09,1071.000000,1082.599976,1066.050049,1079.000000,1059.641113,2981949
2023-05-10,1084.150024,1088.800049,1072.099976,1078.300049,1058.953613,2091411
2023-05-11,1082.150024,1092.599976,1080.050049,1088.099976,1068.577759,2653108
2023-05-12,1086.000000,1103.400024,1077.449951,1095.500000,1075.845093,1585037
2023-05-15,1098.949951,1105.949951,1092.800049,1099.750000,1080.018799,1523466
2023-05-16,1100.199951,1105.300049,1088.099976,1090.699951,1071.131104,1166324
2023-05-17,1090.500000,1093.949951,1062.699951,1074.550049,1055.270996,3602382
2023-05-18,1081.949951,1085.000000,1073.000000,1079.900024,1060.524902,1515743
2023-05-19,1088.599976,1104.000000,1082.449951,1095.349976,1075.697754,1984436
2023-05-22,1095.349976,1121.900024,1088.949951,1119.849976,1099.758057,1864932
2023-05-23,1120.000000,1131.349976,1104.000000,1107.349976,1087.482422,2138096
2023-05-24,1099.050049,1115.000000,1098.000000,1111.949951,1091.999878,1302744
2023-05-25,1109.199951,1118.250000,1103.050049,1116.000000,1095.977295,1124803
2023-05-26,1115.000000,1140.349976,1114.000000,1139.199951,1118.760864,1635167
2023-05-29,1146.000000,1147.949951,1124.400024,1126.199951,1105.994263,1288914
2023-05-30,1129.000000,1144.000000,1128.050049,1135.849976,1115.471069,1983735
2023-05-31,1134.800049,1153.349976,1132.099976,1145.099976,1124.555176,5967930
2023-06-01,1148.000000,1155.150024,1137.650024,1141.900024,1121.412598,1445692
2023-06-02,1148.000000,1151.099976,1131.599976,1137.050049,1116.649658,1336554
2023-06-05,1144.000000,1148.500000,1136.000000,1138.300049,1117.877197,1435758
2023-06-06,1130.000000,1132.300049,1113.750000,1128.599976,1108.351196,1943605
2023-06-07,1133.800049,1133.800049,1116.199951,1129.050049,1108.793213,2459039
2023-06-08,1129.050049,1131.250000,1118.300049,1126.750000,1106.534302,1385218
2023-06-09,1129.099976,1131.000000,1105.949951,1109.750000,1089.839355,1824218
2023-06-12,1112.949951,1140.949951,1111.500000,1139.650024,1119.202881,1670970
2023-06-13,1144.949951,1144.949951,1129.300049,1131.300049,1111.002808,2014656
2023-06-14,1138.000000,1138.400024,1126.050049,1135.849976,1115.471069,836964
2023-06-15,1140.000000,1147.000000,1136.550049,1143.599976,1123.082031,2109652
2023-06-16,1150.000000,1154.250000,1132.449951,1148.199951,1127.599487,2909817
2023-06-19,1148.199951,1153.900024,1135.449951,1137.550049,1117.140625,1278608
